8188fu-dkms-git r13.586d795-1
grantlee-editor 23.08.2-1
grantleetheme 23.08.2-1
graphene 1.10.8-1
graphite 1:1.3.14-3
graphviz 9.0.0-1
grep 3.11-1
grilo 0.3.16-1
grilo-plugins 1:0.3.16-1
groff 1.23.0-5
grpc 1.58.1-2
grub 2:2.12rc1-5
gsettings-desktop-schemas 45.0-1
gsfonts 20200910-3
gsl 2.7.1-3
gsm 1.0.22-1
gsound 1.0.3-3
gspell 1.12.2-1
gssdp 1.6.2-1
gst-editing-services 1.22.6-1
gst-libav 1.22.6-1
gst-plugin-gtk 1.22.6-1
gst-plugin-pipewire 1:0.3.83-1
gst-plugins-bad 1.22.6-1
gst-plugins-bad-libs 1.22.6-1
gst-plugins-base 1.22.6-1
gst-plugins-base-libs 1.22.6-1
gst-plugins-good 1.22.6-1
gstreamer 1.22.6-1
gtest 1.14.0-1
gtk-chtheme 0.3.1-11
gtk-update-icon-cache 1:4.12.3-2
gtk-vnc 1.3.1-1
gtk2 2.24.33-3
gtk3 1:3.24.38-1
gtk4 1:4.12.3-2
gtkmm3 3.24.8-1
gtksourceview3 1:3.24.11+r28+g73e57b57-1
gtksourceview4 4.8.4-1
gtksourceview5 5.10.0-1
gtksourceviewmm 1:3.18.0-5
gts 0.7.6.121130-2
guile 3.0.9-1
gumbo-parser 0.12.1-1
gupnp 1:1.6.5-1
gupnp-av 0.14.1-2
gupnp-dlna 0.12.0-2
gupnp-igd 1.6.0-1
gvfs 1.52.1-1
gvfs-afc 1.52.1-1
gvfs-goa 1.52.1-1
gvfs-google 1.52.1-1
gvfs-gphoto2 1.52.1-1
gvfs-mtp 1.52.1-1
gvfs-nfs 1.52.1-1
gvfs-smb 1.52.1-1
gwenview 23.08.2-1
gzip 1.13-2
harfbuzz 8.2.2-1
harfbuzz-icu 8.2.2-1
hashcat 1:6.2.6-1
haskell-aeson 2.1.2.1-15
haskell-aeson-pretty 0.8.9-145
haskell-ansi-terminal 0.11.4-36
haskell-ansi-wl-pprint 0.6.9-388
haskell-appar 0.1.8-13
haskell-asn1-encoding 0.9.6-214
haskell-asn1-parse 0.9.5-214
haskell-asn1-types 0.3.4-193
haskell-assoc 1.0.2-202
haskell-async 2.2.4-175
haskell-attoparsec 0.14.4-59
haskell-attoparsec-iso8601 1.1.0.0-35
haskell-auto-update 0.1.6-314
haskell-base-compat 0.12.2-1
haskell-base-compat-batteries 0.12.2-55
haskell-base-orphans 0.8.7-64
haskell-base-unicode-symbols 0.2.4.2-13
haskell-base16-bytestring 1.0.2.0-65
haskell-base64 0.4.2.4-52
haskell-base64-bytestring 1.2.1.0-87
haskell-basement 0.0.16-1
haskell-bifunctors 5.6-13
haskell-bitvec 1.1.3.0-62
haskell-blaze-builder 0.4.2.3-1
haskell-blaze-html 0.9.1.2-210
haskell-blaze-markup 0.8.2.8-116
haskell-boring 0.2.1-2
haskell-bsb-http-chunked 0.0.0.4-358
haskell-byteable 0.1.1-25
haskell-byteorder 1.0.4-24
haskell-call-stack 0.4.0-154
haskell-case-insensitive 1.2.1.0-188
haskell-cereal 0.5.8.3-1
haskell-citeproc 0.8.1-57
haskell-cmdargs 0.10.22-1
haskell-colour 2.3.6-180
haskell-commonmark 0.2.3-7
haskell-commonmark-extensions 0.2.3.5-8
haskell-commonmark-pandoc 0.2.1.3-41
haskell-comonad 5.0.8-197
haskell-conduit 1.3.5-15
haskell-conduit-extra 1.3.6-96
haskell-connection 0.3.1-238
haskell-constraints 0.13.4-34
haskell-contravariant 1.5.5-3
haskell-cookie 0.4.6-1
haskell-cryptonite 0.30-57
haskell-data-array-byte 0.1.0.1-25
haskell-data-default 0.7.1.1-285
haskell-data-default-class 0.1.2.0-24
haskell-data-default-instances-containers 0.0.1-36
haskell-data-default-instances-dlist 0.0.1-298
haskell-data-default-instances-old-locale 0.0.1-36
haskell-data-fix 0.3.2-87
haskell-dec 0.0.5-4
haskell-digest 0.0.1.7-1
haskell-distributive 0.6.2.1-194
haskell-dlist 1.0-220
haskell-doclayout 0.4.0.1-8
haskell-doctemplates 0.11-36
haskell-easy-file 0.2.5-6
haskell-emojis 0.1.2-60
haskell-erf 2.0.0.0-24
haskell-errors 2.3.0-65
haskell-fast-logger 3.1.2-39
haskell-file-embed 0.0.15.0-1
haskell-generically 0.1.1-1
haskell-ghc-bignum-orphans 0.1.1-1
haskell-glob 0.10.2-75
haskell-gridtables 0.1.0.0-27
haskell-haddock-library 1.10.0-236
haskell-hashable 1.4.3.0-4
haskell-hourglass 0.2.12-231
haskell-hslua 2.3.0-14
haskell-hslua-aeson 2.3.0-14
haskell-hslua-classes 2.3.0-18
haskell-hslua-core 2.3.1-12
haskell-hslua-list 1.1.1-24
haskell-hslua-marshalling 2.3.0-13
haskell-hslua-module-doclayout 1.1.0-16
haskell-hslua-module-path 1.1.0-14
haskell-hslua-module-system 1.1.0-13
haskell-hslua-module-text 1.1.0-13
haskell-hslua-module-version 1.1.0-14
haskell-hslua-module-zip 1.1.0-13
haskell-hslua-objectorientation 2.3.0-13
haskell-hslua-packaging 2.3.0-13
haskell-hsyaml 0.2.1.2-2
haskell-http-api-data 0.5.1-21
haskell-http-client 0.7.13.1-69
haskell-http-client-tls 0.3.6.3-15
haskell-http-date 0.0.11-121
haskell-http-media 0.8.1.0-5
haskell-http-types 0.12.3-314
haskell-http2 3.0.3-65
haskell-hunit 1.6.2.0-197
haskell-indexed-traversable 0.1.3-5
haskell-indexed-traversable-instances 0.1.1.2-12
haskell-integer-logarithms 1.0.3.1-6
haskell-iproute 1.7.12-67
haskell-ipynb 0.2-106
haskell-jira-wiki-markup 1.5.1-7
haskell-juicypixels 3.3.8-16
haskell-lexer 1.1.1-1
haskell-libyaml 0.1.2-312
haskell-lpeg 1.0.4-10
haskell-lua 2.3.1-7
haskell-memory 0.17.0-53
haskell-mime-types 0.1.1.0-1
haskell-mmorph 1.2.0-5
haskell-monad-control 1.0.3.1-87
haskell-mono-traversable 1.0.15.3-140
haskell-network 3.1.4.0-5
haskell-network-byte-order 0.1.6-163
haskell-network-uri 2.6.4.2-15
haskell-old-locale 1.0.0.7-30
haskell-old-time 1.1.0.3-30
haskell-onetuple 0.3.1-60
haskell-optparse-applicative 0.17.0.0-59
haskell-pandoc 3.1.2-49
haskell-pandoc-lua-engine 0.2-46
haskell-pandoc-lua-marshal 0.2.2-23
haskell-pandoc-server 0.1-127
haskell-pandoc-types 1.23-36
haskell-pem 0.2.4-270
haskell-pretty-show 1.10-14
haskell-primitive 0.7.4.0-81
haskell-psqueues 0.2.7.3-67
haskell-quickcheck 2.14.3-22
haskell-random 1.2.1.1-123
haskell-recv 0.1.0-15
haskell-resourcet 1.2.6-36
haskell-safe 0.3.19-8
haskell-safe-exceptions 0.1.7.4-6
haskell-scientific 0.3.7.0-98
haskell-semialign 1.2.0.1-128
haskell-semigroupoids 5.3.7-110
haskell-servant 0.19.1-53
haskell-servant-server 0.19.2-93
haskell-setlocale 1.0.0.10-4
haskell-sha 1.6.4.4-19
haskell-simple-sendfile 0.2.31-24
haskell-singleton-bool 0.1.7-2
haskell-skylighting 0.13.4-4
haskell-skylighting-core 0.13.4-4
haskell-skylighting-format-ansi 0.1-80
haskell-skylighting-format-blaze-html 0.1.1.1-13
haskell-skylighting-format-context 0.1.0.2-45
haskell-skylighting-format-latex 0.1-80
haskell-socks 0.6.1-222
haskell-some 1.0.5-1
haskell-sop-core 0.5.0.2-1
haskell-split 0.2.3.5-31
haskell-splitmix 0.1.0.4-146
haskell-statevar 1.2.2-2
haskell-streaming-commons 0.2.2.6-11
haskell-strict 0.4.0.1-176
haskell-string-conversions 0.4.0.1-156
haskell-syb 0.7.2.3-13
haskell-tagged 0.8.8-1
haskell-tagsoup 0.14.8-211
haskell-temporary 1.3-540
haskell-texmath 0.12.8-11
haskell-text-conversions 0.3.1.1-46
haskell-text-icu 0.8.0.4-1
haskell-text-short 0.1.5-64
haskell-th-abstraction 0.4.5.0-1
haskell-th-compat 0.1.4-28
haskell-th-lift 0.8.4-1
haskell-th-lift-instances 0.1.20-32
haskell-these 1.1.1.1-203
haskell-time-compat 1.9.6.1-82
haskell-time-manager 0.0.1-9
haskell-tls 1.8.0-8
haskell-transformers-base 0.4.6-87
haskell-transformers-compat 0.7.2-1
haskell-type-equality 1-12
haskell-typed-process 0.2.11.0-9
haskell-unicode-collation 0.1.3.5-6
haskell-unicode-data 0.4.0.1-18
haskell-unicode-transforms 0.4.0.1-56
haskell-uniplate 1.6.13-193
haskell-unix-compat 0.7-12
haskell-unix-time 0.4.11-4
haskell-unliftio 0.2.24.0-10
haskell-unliftio-core 0.2.1.0-1
haskell-unordered-containers 0.2.19.1-76
haskell-utf8-string 1.0.2-135
haskell-uuid-types 1.0.5.1-1
haskell-vault 0.3.1.5-155
haskell-vector 0.13.0.0-57
haskell-vector-algorithms 0.9.0.1-62
haskell-vector-stream 0.1.0.0-1
haskell-wai 3.2.3-204
haskell-wai-app-static 3.1.8-14
haskell-wai-cors 0.2.7-321
haskell-wai-extra 3.1.13.0-172
haskell-wai-logger 2.4.0-323
